"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Non-Stick On Lead,"Stitch placement inaccuracy
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)

(D) Machine Non Stick Detection System",3,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1080,Z8R00003729_1080
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Non-Stick On Lead,"Transducer linear scale contamination/position out of alignment
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Machine Non Stick Detection System

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",3,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1081,Z8R00003729_1081
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Non-Stick On Lead,"Wrong manual assist
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046):  Machine software upgrade which prompt for bond quality verification after manual assist

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Machine Non Stick Detection System

(D) Auto Vision Inspection (Z8R00002191)",3,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1082,Z8R00003729_1082
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Non-Stick On Lead,"Heater element malfunctioned
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)

(D) Machine Non Stick Detection System

(D) Machine auto stop",3,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1083,Z8R00003729_1083
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Non-Stick On Lead,"Bonding parameters out of specification limits
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection  (Z8R00002191)

APC monitoring for input parameter (Z8R00004954)

Machine Non Stick Detection System",2,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1084,Z8R00003729_1084
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]","8.0
7.0",8,Offset ball bond,"Bond head accuracy shift
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1085,Z8R00003729_1085
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Capillary/Wedge offset not properly taught after changing
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1086,Z8R00003729_1086
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Low magnification used for bond point teaching
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1087,Z8R00003729_1087
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Operator self teach error
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1088,Z8R00003729_1088
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Pattern recognition setup/teaching/setting error
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1089,Z8R00003729_1089
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Prolonged machine stoppage results in transducer thermal expansion
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1090,Z8R00003729_1090
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Wrong manual assist
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046):  Machine software upgrade which prompt for bond quality verification after manual assist

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1091,Z8R00003729_1091
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset ball bond,"Uncalibrated RPS (Reference System for Shinkawa Only)
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) machine RPS checking system",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1092,Z8R00003729_1092
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]","8.0
7.0",8,Offset Ball Bump,"Bond head accuracy shift
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1093,Z8R00003729_1093
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Capillary/Wedge offset not properly taught after changing
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1094,Z8R00003729_1094
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Low magnification used for bond point teaching
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1095,Z8R00003729_1095
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Malformed Ball_Diameter
[Method_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1096,Z8R00003729_1096
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Operator self teach error
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1097,Z8R00003729_1097
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Pattern recognition setup/teaching/setting error
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1098,Z8R00003729_1098
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Prolonged machine stoppage results in transducer thermal expansion
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1099,Z8R00003729_1099
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Wrong manual assist
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046): Machine software upgrade which prompt for bond quality verification after manual assist

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1100,Z8R00003729_1100
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]
Customer: Electrical/Functional Failure
[Z8R00003729]",,,Offset Ball Bump,"Uncalibrated RPS (Reference System for Shinkawa Only)
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078)

(D) machine RPS checking system",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1101,Z8R00003729_1101
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]",8,8,Offset Stitch/Wedge Bond,"Capillary/Wedge offset not properly taught after changing
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1102,Z8R00003729_1102
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]",,,Offset Stitch/Wedge Bond,"Wrong manual assist
[Method_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection",2,"(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1103,Z8R00003729_1103
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",7,7,Sagging Wire,"Long wire length
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",6,M,17/3/2023 0:00,Current process Control and Prevention mechanism is sufficient,P,Indra_Yasa(yasa),17/3/2023 0:00,Closed,Current process Control and Prevention mechanism is sufficient,P,17/3/2023 0:00,7,2,6,M,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1104,Z8R00003729_1104
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Sagging Wire,"No wire clamp setup jig
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046):  Introduce wire clamper setup jig

(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",6,M,17/3/2023 0:00,Current process Control and Prevention mechanism is sufficient,P,Indra_Yasa(yasa),17/3/2023 0:00,Closed,Current process Control and Prevention mechanism is sufficient,P,17/3/2023 0:00,7,2,6,M,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1105,Z8R00003729_1105
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Sagging Wire,"Wrong bonding sequence
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",6,M,17/3/2023 0:00,Current process Control and Prevention mechanism is sufficient,P,Indra_Yasa(yasa),17/3/2023 0:00,Closed,Current process Control and Prevention mechanism is sufficient,P,17/3/2023 0:00,7,2,6,M,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1106,Z8R00003729_1106
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00003729]",8,8,Scratches on Wire,"No wire clamp setup jig
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Design Change/Modification: (Z8R00000046):  Introduce wire clamper setup jig",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",6,M,17/3/2023 0:00,Current process Control and Prevention mechanism is sufficient,P,Indra_Yasa(yasa),17/3/2023 0:00,Closed,Current process Control and Prevention mechanism is sufficient,P,17/3/2023 0:00,8,2,6,M,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1107,Z8R00003729_1107
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",7,7,Shorted Ball Bond,"Ball off pad
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1108,Z8R00003729_1108
